region,Code,All categories: Occupation,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
North East,E12000001,1152970,99240,175405,126594,137205,137654,117162,119542,99960,140208
North West,E12000002,3228744,319397,527222,372198,379397,364515,325284,304477,260431,375823
Yorkshire and The Humber,E12000003,2428074,240292,374316,277852,265208,298008,234333,220859,214439,302767
East Midlands,E12000004,2146541,227040,326868,242655,234235,259854,204216,180368,198578,272727
West Midlands,E12000005,2536876,255592,401102,282595,289595,309088,241235,216918,223017,317734
East,E12000006,2849512,324015,476413,366335,341028,340617,264989,224452,208251,303412
London,E12000007,3998897,464272,898018,651058,466488,332674,314023,299222,189123,384019
South East,E12000008,4260723,521978,798224,589352,488467,473290,397104,336150,242998,413160
South West,E12000009,2560384,283074,422807,310428,281607,342980,250304,215489,171227,282468
Wales,W92000004,1363615,125802,215384,147246,151407,183277,143467,123392,110993,162647
Scotland,S92000003,2516895,210819,421639,318380,286144,315177,244508,234367,193594,292267
Northern Ireland,N92000002,795263,63900,136406,68703,111841,111502,73837,79911,63288,85875